iter	Passed	Remaining
455	978	1167
456	980	1164
457	983	1163
458	985	1161
459	987	1158
460	989	1157
461	991	1154
462	995	1154
463	997	1152
464	999	1149
465	1001	1147
466	1003	1145
467	1015	1154
468	1018	1153
469	1020	1150
470	1022	1148
471	1050	1175
472	1052	1172
473	1053	1168
474	1054	1165
475	1059	1166
476	1061	1164
477	1064	1162
478	1066	1159
479	1067	1156
480	1069	1153
481	1077	1157
482	1079	1155
483	1080	1152
484	1082	1149
485	1084	1147
486	1086	1144
487	1095	1149
488	1096	1146
489	1098	1143
490	1100	1141
491	1109	1145
492	1112	1144
493	1114	1141
494	1116	1139
495	1117	1135
496	1122	1136
497	1123	1132
498	1125	1129
499	1126	1126
500	1127	1123
501	1129	1120
502	1130	1117
503	1132	1114
504	1135	1112
505	1138	1111
506	1140	1108
507	1141	1105
508	1142	1102
509	1144	1099
510	1146	1097
511	1150	1096
512	1153	1095
513	1154	1091
514	1156	1089
515	1158	1086
516	1159	1083
517	1160	1080
518	1161	1076
519	1165	1075
520	1168	1073
521	1169	1070
522	1170	1067
523	1171	1064
524	1174	1062
525	1175	1059
526	1177	1056
527	1184	1059
528	1186	1056
529	1187	1053
530	1188	1050
531	1190	1047
532	1193	1046
533	1196	1044
534	1198	1041
535	1199	1038
536	1202	1036
537	1203	1033
538	1204	1030
539	1205	1027
540	1207	1024
541	1210	1023
542	1212	1020
543	1213	1017
544	1214	1014
545	1215	1010
546	1216	1007
547	1218	1005
548	1220	1002
549	1221	999
550	1224	997
551	1225	994
552	1227	992
553	1229	989
554	1230	986
555	1231	983
556	1232	980
557	1234	977
558	1235	974
559	1237	972
560	1239	970
561	1241	967
562	1242	964
563	1243	961
564	1245	958
565	1246	955
566	1247	952
567	1248	949
568	1249	946
569	1251	944
570	1254	942
571	1255	939
572	1257	936
573	1258	934
574	1260	931
575	1261	928
576	1263	925
577	1264	923
578	1265	920
579	1267	917
580	1269	915
581	1270	912
582	1272	909
583	1273	906
584	1274	904
585	1275	901
586	1276	898
587	1277	895
588	1279	892
589	1282	890
590	1283	888
591	1284	885
592	1285	882
593	1286	879
594	1288	877
595	1290	874
596	1291	871
597	1292	869
598	1293	866
599	1295	863
600	1297	861
601	1298	858
602	1299	855
603	1301	853
604	1302	850
605	1303	847
606	1304	844
607	1306	842
608	1307	839
609	1308	836
610	1312	835
611	1313	832
612	1315	830
613	1316	827
614	1318	825
615	1319	822
616	1320	819
617	1321	816
618	1322	814
